
>>> Config 1/72: run_0_ly3_lr0.001_bs16
    Epoch 100/1000 - Loss: 0.689413
    Epoch 200/1000 - Loss: 0.685651
    Epoch 300/1000 - Loss: 0.681663
    Epoch 400/1000 - Loss: 0.678983
    Epoch 500/1000 - Loss: 0.676377
    Epoch 600/1000 - Loss: 0.674480
    Epoch 700/1000 - Loss: 0.673285
    Epoch 800/1000 - Loss: 0.672481
    Epoch 900/1000 - Loss: 0.672403
    Epoch 1000/1000 - Loss: 0.672034

>>> Config 55/72: run_54_ly15_lr0.05_bs16
    Epoch 100/1000 - Loss: 0.693032
    Epoch 200/1000 - Loss: 0.693091
    Epoch 300/1000 - Loss: 0.693561
    Epoch 400/1000 - Loss: 0.693319
    Epoch 500/1000 - Loss: 0.692364
    Epoch 600/1000 - Loss: 0.690477
    Epoch 700/1000 - Loss: 0.683864
    Epoch 800/1000 - Loss: 0.671580
    Epoch 900/1000 - Loss: 0.668174
    Epoch 1000/1000 - Loss: 0.667042

>>> Config 56/72: run_55_ly15_lr0.05_bs32
    Epoch 100/1000 - Loss: 0.693133
    Epoch 200/1000 - Loss: 0.693416
    Epoch 300/1000 - Loss: 0.692463
    Epoch 400/1000 - Loss: 0.692502
