num_layers,lr,batch_size,opt_name,img_size,test_accuracy,epochs_run,folder
7,0.02,16,adam,64,0.5,81,run_146_adam_ly7_lr0.02_bs16
7,0.02,16,sgd,64,0.4805194805194805,51,run_147_sgd_ly7_lr0.02_bs16
7,0.02,32,adam,64,0.4935064935064935,119,run_148_adam_ly7_lr0.02_bs32
7,0.02,32,sgd,64,0.4805194805194805,51,run_149_sgd_ly7_lr0.02_bs32
7,0.02,64,adam,64,0.577922077922078,175,run_150_adam_ly7_lr0.02_bs64
7,0.02,64,sgd,64,0.4805194805194805,51,run_151_sgd_ly7_lr0.02_bs64
7,0.05,8,adam,64,0.5,244,run_152_adam_ly7_lr0.05_bs8
7,0.05,8,sgd,64,0.487012987012987,51,run_153_sgd_ly7_lr0.05_bs8
7,0.05,16,adam,64,0.5909090909090909,125,run_154_adam_ly7_lr0.05_bs16
7,0.05,16,sgd,64,0.487012987012987,51,run_155_sgd_ly7_lr0.05_bs16
7,0.05,32,adam,64,0.5584415584415584,172,run_156_adam_ly7_lr0.05_bs32
7,0.05,32,sgd,64,0.4805194805194805,51,run_157_sgd_ly7_lr0.05_bs32
7,0.05,64,adam,64,0.44155844155844154,169,run_158_adam_ly7_lr0.05_bs64
7,0.05,64,sgd,64,0.4805194805194805,51,run_159_sgd_ly7_lr0.05_bs64
10,0.001,8,adam,64,0.5909090909090909,1043,run_160_adam_ly10_lr0.001_bs8
10,0.001,8,sgd,64,0.4935064935064935,51,run_161_sgd_ly10_lr0.001_bs8
10,0.001,16,adam,64,0.6168831168831169,1375,run_162_adam_ly10_lr0.001_bs16
10,0.001,16,sgd,64,0.4935064935064935,51,run_163_sgd_ly10_lr0.001_bs16
10,0.001,32,adam,64,0.5909090909090909,1600,run_164_adam_ly10_lr0.001_bs32
10,0.001,32,sgd,64,0.4935064935064935,51,run_165_sgd_ly10_lr0.001_bs32
10,0.001,64,adam,64,0.5584415584415584,1004,run_166_adam_ly10_lr0.001_bs64
10,0.001,64,sgd,64,0.4935064935064935,51,run_167_sgd_ly10_lr0.001_bs64
10,0.01,8,adam,64,0.6363636363636364,196,run_168_adam_ly10_lr0.01_bs8
10,0.01,8,sgd,64,0.4935064935064935,51,run_169_sgd_ly10_lr0.01_bs8
