
>>> Config 1/19: run_0_ly2_lr0.05_bs32
    Epoch 1800/3000 - Loss: 0.346601
    Epoch 1900/3000 - Loss: 0.346593
    Epoch 2000/3000 - Loss: 0.346585
    Epoch 2100/3000 - Loss: 0.346581
    Epoch 2200/3000 - Loss: 0.346589
    Epoch 2300/3000 - Loss: 0.346586
    Epoch 2400/3000 - Loss: 0.346586
    Epoch 2500/3000 - Loss: 0.346584
    Epoch 2600/3000 - Loss: 0.346584
    Epoch 2700/3000 - Loss: 0.346583
    Epoch 2800/3000 - Loss: 0.346583
    Epoch 2900/3000 - Loss: 0.346582
    Epoch 3000/3000 - Loss: 0.346581

>>> Config 19/19: run_18_ly20_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.558920
    Epoch 200/3000 - Loss: 0.533164
    Epoch 300/3000 - Loss: 0.536212
    Epoch 400/3000 - Loss: 0.518999
    Epoch 500/3000 - Loss: 0.507072
    Epoch 600/3000 - Loss: 0.554787
    Epoch 700/3000 - Loss: 0.601655
    Epoch 800/3000 - Loss: 0.576471
    Epoch 900/3000 - Loss: 0.484171
    Epoch 1000/3000 - Loss: 0.500329
    Epoch 1100/3000 - Loss: 0.494918
    Epoch 1200/3000 - Loss: 0.461833
    Epoch 1300/3000 - Loss: 0.597669
    Epoch 1400/3000 - Loss: 0.496881
    Epoch 1500/3000 - Loss: 0.532618
    Epoch 1600/3000 - Loss: 0.466649
    Epoch 1700/3000 - Loss: 0.437714
    Epoch 1800/3000 - Loss: 0.428187
    Epoch 1900/3000 - Loss: 0.463825
    Epoch 2000/3000 - Loss: 0.414960
    Epoch 2100/3000 - Loss: 0.413565
    Epoch 2200/3000 - Loss: 0.402365
    Epoch 2300/3000 - Loss: 0.395578
    Epoch 2400/3000 - Loss: 0.397845
    Epoch 2500/3000 - Loss: 0.388180
    Epoch 2600/3000 - Loss: 0.385914
    Epoch 2700/3000 - Loss: 0.384449
    Epoch 2800/3000 - Loss: 0.381822
    Epoch 2900/3000 - Loss: 0.380797
    Epoch 3000/3000 - Loss: 0.380559
